iteration,startX,startY,goalX,goalY,algorithm,heuristic,map,width,height,size,density,distance,blocked,nodesExpanded,nodesGenerated,nodesVisited,nodesExcluded,jumpPoints,jumpPointChecks,jumpCalls,foundGoal,steps,time
0,150,116,22,239,ASTAR,Manhattan,Paths_250x250,250,250,62500,0.248048,251.0,15503,40452,40452,40452,40452,0,0,0,false,n/a,475.245
0,150,116,22,239,JPS,Manhattan,Paths_250x250,250,250,62500,0.248048,251.0,15503,133,132,133,133,132,42768,44782,false,n/a,108.736
1,174,240,66,22,ASTAR,Manhattan,Paths_250x250,250,250,62500,0.248048,326.0,15503,24018,24347,24019,24018,0,0,0,true,1193,126.828
1,174,240,66,22,JPS,Manhattan,Paths_250x250,250,250,62500,0.248048,326.0,15503,85,90,86,85,90,31194,32440,true,649,12.472
2,52,203,210,200,ASTAR,Manhattan,Paths_250x250,250,250,62500,0.248048,161.0,15503,3500,3764,3501,3500,0,0,0,true,359,15.868
2,52,203,210,200,JPS,Manhattan,Paths_250x250,250,250,62500,0.248048,161.0,15503,23,28,24,23,28,10169,10598,true,194,3.327
3,201,57,161,157,ASTAR,Manhattan,Paths_250x250,250,250,62500,0.248048,140.0,15503,40452,40452,40452,40452,0,0,0,false,n/a,231.1
3,201,57,161,157,JPS,Manhattan,Paths_250x250,250,250,62500,0.248048,140.0,15503,133,132,133,133,132,42750,44707,false,n/a,16.756
4,150,13,175,117,ASTAR,Manhattan,Paths_250x250,250,250,62500,0.248048,129.0,15503,6263,6491,6264,6263,0,0,0,true,357,42.366
4,150,13,175,117,JPS,Manhattan,Paths_250x250,250,250,62500,0.248048,129.0,15503,38,42,39,38,42,12140,12677,true,198,6.35
5,202,248,134,50,ASTAR,Manhattan,Paths_250x250,250,250,62500,0.248048,266.0,15503,40452,40452,40452,40452,0,0,0,false,n/a,243.62
5,202,248,134,50,JPS,Manhattan,Paths_250x250,250,250,62500,0.248048,266.0,15503,125,124,125,125,124,42732,44708,false,n/a,17.237
6,2,203,245,176,ASTAR,Manhattan,Paths_250x250,250,250,62500,0.248048,270.0,15503,2725,2725,2725,2725,0,0,0,false,n/a,11.692
6,2,203,245,176,JPS,Manhattan,Paths_250x250,250,250,62500,0.248048,270.0,15503,9,8,9,9,8,2855,2923,false,n/a,0.853
7,68,72,29,208,ASTAR,Manhattan,Paths_250x250,250,250,62500,0.248048,175.0,15503,40452,40452,40452,40452,0,0,0,false,n/a,218.333
7,68,72,29,208,JPS,Manhattan,Paths_250x250,250,250,62500,0.248048,175.0,15503,139,138,139,139,138,42873,44774,false,n/a,19.756
8,38,245,105,237,ASTAR,Manhattan,Paths_250x250,250,250,62500,0.248048,75.0,15503,546,697,547,546,0,0,0,true,135,2.375
8,38,245,105,237,JPS,Manhattan,Paths_250x250,250,250,62500,0.248048,75.0,15503,5,7,6,5,7,3568,3867,true,73,1.411
9,25,148,31,13,ASTAR,Manhattan,Paths_250x250,250,250,62500,0.248048,141.0,15503,18820,19217,18821,18820,0,0,0,true,949,104.422
9,25,148,31,13,JPS,Manhattan,Paths_250x250,250,250,62500,0.248048,141.0,15503,3,2,3,3,2,53,57,false,n/a,0.069
