iteration,startX,startY,goalX,goalY,algorithm,heuristic,map,width,height,size,density,distance,blocked,nodesExpanded,nodesGenerated,nodesVisited,nodesExcluded,jumpPoints,jumpPointChecks,jumpCalls,foundGoal,steps,time
21,28,121,37,104,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,26.0,6697,61,91,62,61,0,0,0,true,43,0.338
21,28,121,37,104,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,26.0,6697,33,45,34,33,45,152,179,true,43,0.241
22,27,121,102,44,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,152.0,6697,500,677,501,500,0,0,0,true,227,1.89
22,27,121,102,44,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,152.0,6697,175,227,176,175,227,793,932,true,223,0.901
23,27,51,124,106,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,152.0,6697,422,587,423,422,0,0,0,true,195,1.765
23,27,51,124,106,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,152.0,6697,196,258,197,196,258,959,1310,true,166,0.981
24,2,12,92,83,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,161.0,6697,184,367,185,184,0,0,0,true,181,0.742
24,2,12,92,83,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,161.0,6697,92,144,93,92,144,580,723,true,149,0.571
25,106,58,98,48,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,18.0,6697,21,46,22,21,0,0,0,true,25,0.131
25,106,58,98,48,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,18.0,6697,12,21,13,12,21,66,76,true,23,0.083
26,91,112,112,16,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,117.0,6697,1656,1796,1657,1656,0,0,0,true,211,5.135
26,91,112,112,16,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,117.0,6697,952,1014,953,952,1014,2962,5436,true,201,3.824
27,34,17,89,2,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,70.0,6697,438,491,439,438,0,0,0,true,123,1.281
27,34,17,89,2,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,70.0,6697,335,361,336,335,361,1160,1988,true,120,1.271
28,101,28,76,42,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,39.0,6697,157,213,158,157,0,0,0,true,63,0.494
28,101,28,76,42,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,39.0,6697,95,116,96,95,116,361,518,true,61,0.414
29,2,49,31,112,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,92.0,6697,354,456,355,354,0,0,0,true,129,1.077
29,2,49,31,112,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,92.0,6697,158,201,159,158,201,744,1017,true,114,0.686
30,64,93,94,42,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,81.0,6697,480,566,481,480,0,0,0,true,127,1.432
30,64,93,94,42,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,81.0,6697,276,316,277,276,316,944,1487,true,127,1.034
31,88,106,70,32,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,92.0,6697,656,743,657,656,0,0,0,true,149,2.037
31,88,106,70,32,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,92.0,6697,315,369,316,315,369,1226,1891,true,134,1.227
