iteration,startX,startY,goalX,goalY,algorithm,heuristic,map,width,height,size,density,distance,blocked,nodesExpanded,nodesGenerated,nodesVisited,nodesExcluded,jumpPoints,jumpPointChecks,foundGoal,steps,time
19,201,6,89,2,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,116.0,34038,112,344,113,112,0,0,true,225,0.641
19,201,6,89,2,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,116.0,34038,5,12,6,5,12,1064,true,118,0.777
20,226,153,127,49,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,203.0,34038,2693,3066,2694,2693,0,0,true,415,10.894
20,226,153,127,49,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,203.0,34038,125,164,126,125,164,4928,true,244,3.296
21,105,15,102,149,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,137.0,34038,1672,1958,1673,1672,0,0,true,305,6.998
21,105,15,102,149,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,137.0,34038,99,146,100,99,146,4478,true,188,3.246
22,195,157,65,9,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,278.0,34038,1312,1701,1313,1312,0,0,true,457,5.23
22,195,157,65,9,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,278.0,34038,58,85,59,58,85,3669,true,270,1.806
23,60,93,126,156,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,129.0,34038,99,313,100,99,0,0,true,163,0.542
23,60,93,126,156,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,129.0,34038,27,47,28,27,47,1260,true,109,0.698
24,20,246,139,71,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,294.0,34038,648,648,648,648,0,0,false,n/a,2.492
24,20,246,139,71,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,294.0,34038,8,7,8,8,7,577,false,n/a,0.335
25,92,124,172,104,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,100.0,34038,127,283,128,127,0,0,true,163,1.154
25,92,124,172,104,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,100.0,34038,16,28,17,16,28,907,true,98,0.544
26,69,70,247,114,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,222.0,34038,15662,16149,15663,15662,0,0,true,647,117.376
26,69,70,247,114,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,222.0,34038,962,1027,963,962,1027,20696,true,349,48.222
27,81,132,63,99,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,51.0,34038,53,119,54,53,0,0,true,91,0.336
27,81,132,63,99,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,51.0,34038,12,21,13,12,21,606,true,57,0.488
28,71,103,95,224,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,145.0,34038,6901,7266,6902,6901,0,0,true,387,32.813
28,71,103,95,224,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,145.0,34038,360,417,361,360,417,9772,true,208,8.93
29,57,223,140,4,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,302.0,34038,2822,3270,2823,2822,0,0,true,561,12.325
29,57,223,140,4,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,302.0,34038,183,249,184,183,249,6267,true,341,4.291
30,85,244,122,187,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,94.0,34038,648,648,648,648,0,0,false,n/a,2.218
30,85,244,122,187,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,94.0,34038,8,7,8,8,7,580,false,n/a,0.545
31,168,156,127,102,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,95.0,34038,237,407,238,237,0,0,true,129,1.011
31,168,156,127,102,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,95.0,34038,34,61,35,34,61,1365,true,85,0.767
32,249,153,15,11,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,376.0,34038,1264,1645,1265,1264,0,0,true,751,4.943
32,249,153,15,11,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,376.0,34038,36,53,37,36,53,2134,true,401,0.952
33,210,94,128,142,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,130.0,34038,1097,1297,1098,1097,0,0,true,305,4.465
